Unique Row ID,Orig Order,Original Variable,Original Var. Meaning,New Variables Built,Vars. to Use,Notes & To-do's,Hypotheses,Correl w. SalePrice,Keeping?,Category,New Var Number,Variable Type
17,5,int 5 LotArea,Lot size in square feet,.,LotArea,hist shows over 1400 values that are zero but when i try to count from dataframe there are no zero values?,Must be important,0.26,x,dimensions,20,numeric
82,27,flo 27 MasVnrArea,Masonry veneer area in square feet,.,MasVnrArea,59% of values are 0. no masonry veneer? correlation with saleprice .477 and correlation with exteriorquality .35,.,0.48,x,dimensions,21,numeric
107,46,int 46 LowQualFinSF,Low quality finished square feet (all floors),.,LowQualFinSF,98% of values are 0,.,-0.03,x,dimensions,22,numeric
108,47,int 47 GrLivArea,Above grade (ground) living area square feet,.,GrLivArea,Add to total sqft? check associations with general garage group esp correlation with garage cars. A few big outliers,.,0.71,x,dimensions,23,numeric
130,67,int 67 WoodDeckSF,Wood deck area in square feet,KEEP: low correlations with 4 porch-related vars below,WoodDeckSF,.,.,0.32,x,dimensions,24,numeric
131,68,int 68 OpenPorchSF,Open porch area in square feet,.,OpenPorchSF,about 45% (656) of these values are 0. correlation with saleprice .32,.,0.32,x,dimensions,25,numeric
132,69,int 69 EnclosedPorch,Enclosed porch area in square feet,.,EnclosedPorch,Negatively correlated (-0.38) with year built; Consider taking it out? Maybe not,.,-0.13,x,dimensions,26,numeric
133,70,int 70 3SsnPorch,Three season porch area in square feet,.,3SsnPorch,98% of values are zero. no strong correlations,.,0.04,x,dimensions,27,numeric
134,71,int 71 ScreenPorch,Screen porch area in square feet,.,ScreenPorch,"92% of values are zero! correlation with saleprice is only .11, correlation with GrLiveArea .10. not strongly correlated with other numeric variables",.,0.11,x,dimensions,28,numeric
138,75,obj 75 MiscFeature,Miscellaneous feature not covered in other categories,Dummy: shed,shed,3.40%,.,-0.07,x,extras,29,dummy
137,74,obj 74 Fence,Fence quality,NUMERIC: fence,fence,Note for this and others 0 = no fence,.,-0.13,x,extras,30,numeric
139,76,int 76 MiscVal,$Value of miscellaneous feature,.,MiscVal,96% of values are 0.,.,-0.02,x,extras,31,numeric
21,8,obj 8 LotShape,General shape of property,Dummy: ''LotShapeReg',LotShapeReg,63.00%,.,-0.27,x,lot,32,dummy
22,9,obj 9 LandContour,Flatness of the property,Dummies starting with 'slope_',slope_Bnk,4.30%,.,-0.1,x,lot,33,dummy
23,9,obj 9 LandContour,Flatness of the property,Dummies starting with 'slope_',slope_HLS,3.40%,.,0.12,x,lot,34,dummy
26,11,obj 11 LotConfig,Lot configuration,Dummies starting with 'lotconfig_',lotconfig_Corner,18.00%,.,0,x,lot,35,dummy
27,11,obj 11 LotConfig,Lot configuration,Dummies starting with 'lotconfig_',lotconfig_CulDSac,6.40%,.,0.14,x,lot,36,dummy
29,12,obj 12 LandSlope,Slope of property,Dummy: 'LandSlope_Gentle',LandSlope_Gentle,95.00%,.,-0.05,x,lot,37,dummy
70,24,obj 24 Exterior1st,Exterior covering on house,Dummies starting with 'ext_',ext_AsbShng,>1.4%,.,-0.11,x,materials,38,dummy
71,25,obj 25 Exterior2nd,Exterior covering on house (if more than one material),Dummies starting with 'ext_',ext_BrkFace,>3.4%,.,0.03,x,materials,39,dummy
72,25,obj 24 Exterior1st/2nd,Exterior covering on house,Dummies starting with 'ext_',ext_CemntBd,>4.2%,.,0.13,x,materials,40,dummy
73,25,obj 24 Exterior1st/2nd,Exterior covering on house,Dummies starting with 'ext_',ext_HdBoard,>15%,.,-0.09,x,materials,41,dummy
74,25,obj 24 Exterior1st/2nd,Exterior covering on house,Dummies starting with 'ext_',ext_MetalSd,>15%,.,-0.17,x,materials,42,dummy
75,25,obj 24 Exterior1st/2nd,Exterior covering on house,Dummies starting with 'ext_',ext_Plywood,>7%,.,-0.05,x,materials,43,dummy
76,25,obj 24 Exterior1st/2nd,Exterior covering on house,Dummies starting with 'ext_',ext_Stucco,>1.7%,.,-0.04,x,materials,44,dummy
77,25,obj 24 Exterior1st/2nd,Exterior covering on house,Dummies starting with 'ext_',ext_VinylSd,>35%,.,0.3,x,materials,45,dummy
78,25,obj 24 Exterior1st/2nd,Exterior covering on house,Dummies starting with 'ext_',ext_WdSdng,>14%,.,-0.15,x,materials,46,dummy
79,25,obj 24 Exterior1st/2nd,Exterior covering on house,Dummies starting with 'ext_',ext_WdShing,>1.8%,.,-0.05,x,materials,47,dummy
81,26,obj 26 MasVnrType,Masonry veneer type,Dummies starting with 'veneer_',veneer_stone,8.80%,.,0.33,x,materials,48,dummy
15,3,obj 3 MSZoning,The general zoning classification,Dummies starting with 'zone_',zone_RM,15.00%,.,-0.29,x,neighborhood,49,dummy
19,7,obj 7 Alley,Type of alley access,Dummies starting with 'alley_',alley_gravel,"3.4%, note NA = no alley access",.,-0.14,x,neighborhood,50,dummy
20,7,obj 7 Alley,Type of alley access,Dummies starting with 'alley_',alley_paved,2.80%,.,-0.03,x,neighborhood,51,dummy
30,13,obj 13 Neighborhood,Physical locations w/i Ames city,Dummies starting with 'nbh_',nbh_BrkSide,"4%, Hoods and other like yrbuilt interact?",Some hoods must be important.,-0.14,x,neighborhood,52,dummy
31,13,obj 13 Neighborhood,Physical locations w/i Ames city,Dummies starting with 'nbh_',nbh_ClearCr,1.90%,.,0.06,x,neighborhood,53,dummy
32,13,obj 13 Neighborhood,Physical locations w/i Ames city,Dummies starting with 'nbh_',nbh_CollgCr,10.00%,.,0.07,x,neighborhood,54,dummy
33,13,obj 13 Neighborhood,Physical locations w/i Ames city,Dummies starting with 'nbh_',nbh_Crawfor,3.50%,.,0.07,x,neighborhood,55,dummy
34,13,obj 13 Neighborhood,Physical locations w/i Ames city,Dummies starting with 'nbh_',nbh_Edwards,6.90%,.,-0.18,x,neighborhood,56,dummy
35,13,obj 13 Neighborhood,Physical locations w/i Ames city,Dummies starting with 'nbh_',nbh_Gilbert,5.40%,.,0.04,x,neighborhood,57,dummy
36,13,obj 13 Neighborhood,Physical locations w/i Ames city,Dummies starting with 'nbh_',nbh_IDOTRR,2.50%,.,-0.16,x,neighborhood,58,dummy
37,13,obj 13 Neighborhood,Physical locations w/i Ames city,Dummies starting with 'nbh_',nbh_Mitchel,3.40%,.,-0.06,x,neighborhood,59,dummy
38,13,obj 13 Neighborhood,Physical locations w/i Ames city,Dummies starting with 'nbh_',nbh_NAmes,15.00%,.,-0.19,x,neighborhood,60,dummy
39,13,obj 13 Neighborhood,Physical locations w/i Ames city,Dummies starting with 'nbh_',nbh_NWAmes,5.00%,.,0.02,x,neighborhood,61,dummy
40,13,obj 13 Neighborhood,Physical locations w/i Ames city,Dummies starting with 'nbh_',nbh_NoRidge,2.80%,.,0.33,x,neighborhood,62,dummy
41,13,obj 13 Neighborhood,Physical locations w/i Ames city,Dummies starting with 'nbh_',nbh_NridgHt,5.30%,.,0.4,x,neighborhood,63,dummy
42,13,obj 13 Neighborhood,Physical locations w/i Ames city,Dummies starting with 'nbh_',nbh_OldTown,7.70%,.,-0.19,x,neighborhood,64,dummy
43,13,obj 13 Neighborhood,Physical locations w/i Ames city,Dummies starting with 'nbh_',nbh_SWISU,1.70%,.,-0.06,x,neighborhood,65,dummy
44,13,obj 13 Neighborhood,Physical locations w/i Ames city,Dummies starting with 'nbh_',nbh_Sawyer,5.10%,.,-0.13,x,neighborhood,66,dummy
45,13,obj 13 Neighborhood,Physical locations w/i Ames city,Dummies starting with 'nbh_',nbh_SawyerW,4.00%,.,0.01,x,neighborhood,67,dummy
46,13,obj 13 Neighborhood,Physical locations w/i Ames city,Dummies starting with 'nbh_',nbh_Somerst,5.90%,.,0.14,x,neighborhood,68,dummy
47,13,obj 13 Neighborhood,Physical locations w/i Ames city,Dummies starting with 'nbh_',nbh_StoneBr,1.70%,.,0.22,x,neighborhood,69,dummy
48,13,obj 13 Neighborhood,Physical locations w/i Ames city,Dummies starting with 'nbh_',nbh_Timber,2.60%,.,0.13,x,neighborhood,70,dummy
49,14,obj 14 Condition1,Proximity to main road or railroad,Dummies starting with 'prox_',prox_norm,>86%,.,0.03,x,neighborhood,71,dummy
50,15,obj 15 Condition2,Proximity to main road or railroad (if a second is present),Dummies starting with 'prox_',prox_feeder,>5.6%,.,-0.12,x,neighborhood,72,dummy
51,15,obj 14 Condition1/2,Proximity to main road or railroad,Dummies starting with 'prox_',prox_artery,>3.3%,.,-0.11,x,neighborhood,73,dummy
52,15,obj 14 Condition1/2,Proximity to main road or railroad,Dummies starting with 'prox_',prox_rr,>3.0%,.,-0.02,x,neighborhood,74,dummy
53,15,obj 14 Condition1/2,Proximity to main road or railroad,Dummies starting with 'prox_',prox_positive,>1.8%,.,0.07,x,neighborhood,75,dummy
64,19,int 19 OverallCond,Overall condition rating,.,OverallCond,"Correlated, but category 5 is above avg. 5 & 9 have more dispersion",.,-0.08,x,quality/condition,76,numeric
84,28.5,obj 28 ExterQual,.,New Numeric: average_quality,average_quality,"average of heating_quality, exterior_quality, kitchen_quality, OverallQual, and bsmt_height",.,.,x,quality/condition,77,numeric
85,29,obj 29 ExterCond,Present condition of the material on the exterior,NUMERIC: exterior_condition,exterior_condition,"Correlated with exterior quality? 
 Multiply exterior_quality by exterior_condition?",.,0.02,x,quality/condition,78,numeric
91,32,obj 32 BsmtCond,General condition of the basement,NUMERIC: bsmt_condition,bsmt_condition,. NA = no basement,Must contribute to price,0.21,x,quality/condition,79,numeric
93,34,obj 34 BsmtFinType1,Quality of basement finished area,NUMERIC: bsmt_finished1,bsmt_finished1,.,.,0.36,x,quality/condition,80,numeric
95,36,obj 36 BsmtFinType2,Quality of second finished area (if present),NUMERIC: bsmt_finished2,bsmt_finished2,.,.,0.04,x,quality/condition,81,numeric
118,56,obj 56 Functional,Home functionality rating,NUMERIC: home_funct,home_funct,93% of values are 7. not highly correlated with any numeric variables,Important,0.1,x,quality/condition,82,numeric
121,58.5,.,.,Product of Fireplaces & fireplace_quality,fireplace_ttlscore,.,.,0.48,x,quality/condition,83,numeric
127,64,obj 64 GarageQual,Garage quality,"IGNORE, use Numeric: gar_perception (product of gar_quality & gar_cond)",gar_perception,most (93%) values 6. what does that translate to?,Must contribute to price,0.15,x,quality/condition,84,numeric
129,66,obj 66 PavedDrive,Paved driveway,NUMERIC: driveway,driveway,correlation with yearbuilt .418. correlation with saleprice .23,.,0.23,x,quality/condition,85,numeric
140,77,int 77 MoSold,Month Sold,"IGNORE - use dummies starting with ""salesmo_""",salesmo_3,.,.,0.01,x,sales characteristics,86,dummy
141,77,int 77 MoSold,Month Sold,"IGNORE - use dummies starting with ""salesmo_""",salesmo_4,.,.,-0.04,x,sales characteristics,87,dummy
142,77,int 77 MoSold,Month Sold,"IGNORE - use dummies starting with ""salesmo_""",salesmo_5,.,.,-0.04,x,sales characteristics,88,dummy
143,77,int 77 MoSold,Month Sold,"IGNORE - use dummies starting with ""salesmo_""",salesmo_6,.,.,-0.02,x,sales characteristics,89,dummy
144,77,int 77 MoSold,Month Sold,"IGNORE - use dummies starting with ""salesmo_""",salesmo_7,.,.,0.03,x,sales characteristics,90,dummy
145,77,int 77 MoSold,Month Sold,"IGNORE - use dummies starting with ""salesmo_""",salesmo_8,.,.,0.01,x,sales characteristics,91,dummy
146,77,int 77 MoSold,Month Sold,"IGNORE - use dummies starting with ""salesmo_""",salesmo_9,.,.,0.04,x,sales characteristics,92,dummy
147,77,int 77 MoSold,Month Sold,"IGNORE - use dummies starting with ""salesmo_""",salesmo_10,.,.,0,x,sales characteristics,93,dummy
148,77,int 77 MoSold,Month Sold,"IGNORE - use dummies starting with ""salesmo_""",salesmo_11,.,.,0.03,x,sales characteristics,94,dummy
149,77,int 77 MoSold,Month Sold,"IGNORE - use dummies starting with ""salesmo_""",salesmo_12,.,.,0.01,x,sales characteristics,95,dummy
150,78,int 78 YrSold,Year Sold,"IGNORE - use dummies starting with ""salesyear_""",salesyear_07,.,.,0.03,x,sales characteristics,96,dummy
151,78,int 78 YrSold,Year Sold,"IGNORE - use dummies starting with ""salesyear_""",salesyear_08,.,.,-0.02,x,sales characteristics,97,dummy
152,78,int 78 YrSold,Year Sold,"IGNORE - use dummies starting with ""salesyear_""",salesyear_09,.,.,-0.01,x,sales characteristics,98,dummy
153,78,int 78 YrSold,Year Sold,"IGNORE - use dummies starting with ""salesyear_""",salesyear_10,.,.,-0.02,x,sales characteristics,99,dummy
156,80,obj 80 SaleCondition,Condition of sale,Dummies starting with 'sale_',sale_Abnorml,6.90%,.,-0.12,x,sales characteristics,100,dummy
157,80,obj 80 SaleCondition,Condition of sale,Dummies starting with 'sale_',sale_Family,1.40%,.,-0.05,x,sales characteristics,101,dummy
159,80,obj 80 SaleCondition,Condition of sale,Dummies starting with 'sale_',sale_Partial,8.20%,.,0.35,x,sales characteristics,102,dummy
66,21,int 21 YearRemodAdd,Remodel date,IGNORE - use dummy 'remodeled' because it's correlated with year built,remodeled,.,MIght contribute to price,-0.02,x,year,103,dummy
65,20,int 20 YearBuilt,Original construction date,.,age,Use age (YearBuilt - YrSold) instead,High importance,0.52,x,year,104,numeric
